POSITION,PLAYER,TEAM,TOI,GP,TOI/GP,GOALS/60,TOTAL ASSISTS/60,FIRST ASSISTS/60,SECOND ASSISTS/60,TOTAL POINTS/60,IPP,SHOTS/60,SH%,IXG/60,ICF/60,IFF/60,ISCF/60,IHDCF/60,RUSH ATTEMPTS/60,REBOUNDS CREATED/60,PIM/60,TOTAL PENALTIES/60,MINOR/60,MAJOR/60,MISCONDUCT/60,PENALTIES DRAWN/60,GIVEAWAYS/60,TAKEAWAYS/60,HITS/60,HITS TAKEN/60,SHOTS BLOCKED/60,FACEOFFS WON/60,FACEOFFS LOST/60,FACEOFFS %,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,XGF/60,XGA/60,XGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,ON-ICE SH%,ON-ICE SV%,PDO,OFF. ZONE STARTS/60,NEU. ZONE STARTS/60,DEF. ZONE STARTS/60,ON THE FLY STARTS/60,OFF. ZONE START %,OFF. ZONE FACEOFFS/60,NEU. ZONE FACEOFFS/60,DEF. ZONE FACEOFFS/60,OFF. ZONE FACEOFF %,AGE,DATE OF BIRTH,BIRTH CITY,BIRTH STATE/PROVINCE,BIRTH COUNTRY,NATIONALITY,HEIGHT (IN),WEIGHT (LBS),DRAFT YEAR,DRAFT TEAM,DRAFT ROUND,ROUND PICK,OVERALL DRAFT POSITION,COUNTRY,HANDED,DRAFTED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,SEASON,SALARY CAP,SALARY CAP PERCENTAGE,DECEASED,PRED_SALARY_PERCENTAGE,PRED_AAV,DIFF
c,craig conroy,-,1355.45,79,17.157594936709,0.53,0.97,0.35,0.62,1.51,57.63,5.13,0.1033999999999999,0.63,8.63,7.08,5.58,2.92,0.4,0.27,3.14,1.51,1.46,0.04,0.0,0.97,2.43,2.35,4.34,3.81,2.43,32.14,30.32,0.0227999999999999,50.02,50.46,0.4978,37.98,40.86,0.4818,27.09,30.9,0.4672,2.61,2.83,0.4797,2.65,2.57,0.5077,23.15,22.71,0.5047999999999999,8.85,9.3,0.4878,0.89,1.28,0.4082,19.06,17.88,0.516,1.3,0.94,0.5789,31.52,34.08,0.4805,1.02,1.09,0.4847999999999999,0.0964,0.9083,1.005,11.07,21.6,15.63,42.27,0.4146,19.12,28.95,23.81,0.4454,35,1971-09-04,Potsdam,NY,USA,USA,74,193,1990.0,MTL,6.0,18.0,123.0,United States,Right,123 - Round 6 - 1990 (MTL),LAK,Standard (1-way),32,,4,UFA,2008,1795500,"$1,795,500.00",2394000,2394000,0,0,2007-08,50300000,0.0356958250497017,0,0.041065782,"$2,065,608.00","$270,108.00"
c,dainius zubrus,-,1287.0166666667,82,15.695325203252,0.61,1.17,0.65,0.51,1.77,64.41,5.97,0.1016,0.64,11.05,8.44,6.95,2.89,0.61,0.42,1.68,0.84,0.84,0.0,0.0,1.17,0.98,1.63,3.59,4.66,0.79,3.73,2.98,0.0259,57.76,40.05,0.5906,43.96,31.89,0.5796,31.19,23.92,0.5660000000000001,2.75,1.96,0.5842,2.79,1.89,0.5962,28.25,19.07,0.597,10.77,8.02,0.5732,1.63,1.03,0.614,23.31,14.73,0.6127,0.93,0.5,0.6522,37.51,26.8,0.5832,0.61,0.74,0.45,0.0882,0.9181,1.006,9.18,12.91,4.43,51.84,0.6747,17.62,19.25,10.21,0.6332,29,1978-06-16,Elektrenai,LTU,LTU,,77,225,1996.0,PHI,1.0,15.0,,Lithuania,Left,15 - Round 1 - 1996 (PHI),NJD,Standard (1-way),29,,6,UFA,2013,3400000,"$3,400,000.00",3400000,3400000,0,0,2007-08,50300000,0.0675944333996023,0,0.05057662,"$2,544,003.00","$-855,997.00"
c,david legwand,-,1170.6,65,18.009230769231,0.77,1.49,0.82,0.67,2.26,64.71,7.38,0.1042,0.86,10.61,8.92,6.82,3.43,0.36,0.82,1.95,0.97,0.97,0.0,0.0,0.92,1.33,2.67,0.36,2.41,1.08,15.63,20.25,0.0223,53.92,49.0,0.5239,41.16,38.9,0.5141,31.37,29.52,0.5152,3.49,2.72,0.562,2.95,2.61,0.5299,25.68,24.24,0.5144,10.4,10.1,0.5075,1.95,1.38,0.5846,20.37,18.86,0.5192,1.03,1.16,0.4688,34.35,31.69,0.5202,1.11,0.67,0.625,0.1110999999999999,0.908,1.019,11.07,13.84,8.05,42.9,0.5791,19.73,19.84,14.81,0.5711999999999999,26,1980-08-17,Detroit,MI,USA,USA,74,207,1998.0,NSH,1.0,2.0,2.0,United States,Left,2 - Round 1 - 1998 (NSH),NSH,Standard (1-way),25,,2,UFA,2008,1875000,"$1,875,000.00",2100000,2100000,0,0,2007-08,50300000,0.0372763419483101,0,0.03995446,"$2,009,709.00","$134,709.00"
c,david steckel,-,908.75,67,13.563432835821,0.33,0.46,0.33,0.13,0.79,54.55,4.36,0.0758,0.41,8.52,6.4,5.35,2.11,0.4,0.4,2.24,0.92,0.79,0.13,0.0,1.06,1.39,2.05,6.01,3.57,2.77,33.47,25.95,0.0372,41.2,60.15,0.4065,29.78,43.44,0.4067,21.92,31.1,0.4134,1.45,2.97,0.3284,1.78,3.12,0.3636,20.07,27.8,0.4193,7.59,11.22,0.4035,0.73,1.91,0.275,16.64,22.1,0.4295,0.62,0.97,0.3889,24.61,39.01,0.3868,0.38,0.48,0.4443999999999999,0.0663,0.9045,0.971,7.92,18.35,21.66,41.6,0.2678999999999999,13.4,26.28,33.67,0.2847,25,1982-03-15,Milwaukee,WI,USA,USA,78,215,2001.0,L.A,1.0,30.0,30.0,United States,Left,30 - Round 1 - 2001 (LAK),WSH,Standard (2-way),25,,2,UFA,2009,512500,"$512,500.00",525000,525000,0,0,2007-08,50300000,0.0101888667992047,0,0.014179755,"$713,241.00","$200,741.00"
c,dean mcammond,-,784.26666666667,68,11.533333333333,0.69,0.99,0.61,0.38,1.68,70.97,5.13,0.1343,0.49,9.33,7.04,5.74,2.22,0.38,0.38,0.92,0.46,0.46,0.0,0.0,0.31,2.14,2.52,3.29,4.05,1.38,8.57,11.25,0.0331,47.05,51.03,0.4797,33.28,38.56,0.4633,24.4,27.47,0.4705,2.37,3.06,0.4366,1.82,2.33,0.4393999999999999,23.03,25.17,0.4778,8.34,9.41,0.4698,1.76,1.84,0.4894,19.59,21.01,0.4824,0.41,0.61,0.4,29.62,32.27,0.4785999999999999,0.44,1.11,0.2857,0.0972,0.8886,0.986,8.65,13.16,8.57,49.73,0.5022,14.31,20.58,15.15,0.4857,34,1973-06-15,Grand Cache,AB,CAN,CAN,71,195,1991.0,CHI,1.0,22.0,22.0,Canada,Left,22 - Round 1 - 1991 (CHI),OTT,Standard (1-way),34,,2,UFA,2009,875000,"$875,000.00",850000,850000,0,0,2007-08,50300000,0.0173956262425447,0,0.017558664,"$883,200.00","$8,200.00"
c,derek roy,-,1635.5,78,20.967948717949,1.17,1.8,1.1,0.7,2.97,68.07,8.0,0.1467999999999999,0.83,13.5,10.71,7.96,3.38,0.48,0.59,1.69,0.84,0.84,0.0,0.0,1.91,2.42,1.76,1.32,3.08,1.76,26.16,24.95,0.0187999999999999,59.21,46.3,0.5611999999999999,46.59,34.74,0.5728,34.15,25.75,0.5700999999999999,4.37,3.08,0.5861999999999999,3.28,2.35,0.5821999999999999,28.25,20.51,0.5794,12.95,7.96,0.6193,2.71,1.47,0.6491,20.4,16.73,0.5494,1.08,1.22,0.4681,39.0,32.7,0.544,1.17,0.85,0.5789,0.1278,0.8803,1.008,9.8,12.22,9.13,36.14,0.5174,19.11,19.33,15.37,0.5543,24,1983-05-04,Ottawa,ON,CAN,CAN,69,184,2001.0,BUF,2.0,2.0,32.0,Canada,Left,32 - Round 2 - 2001 (BUF),BUF,Standard (1-way),24,,6,UFA,2013,4000000,"$4,000,000.00",3000000,3000000,0,0,2007-08,50300000,0.0795228628230616,0,0.07889463,"$3,968,399.00","$-31,601.00"
c,dominic moore,-,903.21666666667,68,13.282598039216,0.33,0.8,0.4,0.4,1.13,68.0,6.64,0.05,0.55,11.82,9.17,5.91,2.06,0.4,0.33,1.59,0.8,0.8,0.0,0.0,1.59,1.46,1.59,2.66,4.38,1.93,24.05,22.72,0.0342,43.91,54.6,0.4457,33.28,42.18,0.441,23.32,30.09,0.4366,1.66,2.72,0.3788,1.68,2.61,0.392,18.14,24.78,0.4226,5.91,10.3,0.3647999999999999,0.86,1.79,0.325,16.3,19.31,0.4577,0.53,0.62,0.4614999999999999,30.23,37.42,0.4468,0.48,0.67,0.4167,0.0712,0.9095,0.981,6.11,15.74,10.96,53.01,0.358,11.76,21.66,18.53,0.3882,26,1980-08-03,Thornhill,ON,CAN,CAN,72,192,2000.0,NYR,3.0,30.0,95.0,Canada,Left,95 - Round 3 - 2000 (NYR),PIT,Standard (1-way),25,,2,UFA,2008,700000,"$700,000.00",700000,700000,0,0,2007-08,50300000,0.0139165009940357,0,0.016838891,"$846,996.00","$146,996.00"
c,eric belanger,-,1291.4333333333,75,17.219111111111,0.6,1.12,0.84,0.28,1.72,59.68,5.34,0.113,0.56,10.69,8.36,5.34,1.72,0.51,0.46,1.39,0.7,0.7,0.0,0.0,0.88,1.63,1.86,2.37,1.9,2.14,27.27,28.25,0.0227999999999999,50.69,51.11,0.4979,38.47,40.09,0.4896999999999999,26.85,30.15,0.4711,2.88,2.88,0.5,2.11,2.41,0.4668,20.26,22.86,0.4698,6.6,9.85,0.4011,1.21,1.44,0.4561,18.21,17.35,0.5122,1.24,1.18,0.5128,37.85,35.57,0.5155,1.07,0.81,0.5714,0.1073,0.9045,1.012,10.96,15.05,13.52,54.78,0.4478,15.98,19.84,22.11,0.4195,29,1977-12-16,Sherbrooke,QC,CAN,CAN,71,185,1996.0,L.A,4.0,16.0,96.0,Canada,Left,96 - Round 4 - 1996 (LAK),MIN,Standard (1-way),29,,3,UFA,2010,1750000,"$1,750,000.00",1750000,1750000,0,0,2007-08,50300000,0.0347912524850894,0,0.027740033,"$1,395,323.00","$-354,677.00"
c,eric staal,-,1774.05,82,21.634756097561,1.29,1.49,0.85,0.64,2.77,69.49,10.48,0.1226,1.18,18.6,14.14,10.48,5.21,0.61,1.49,1.69,0.85,0.85,0.0,0.0,1.93,1.56,1.89,3.35,2.94,1.12,25.94,31.83,0.0152,69.84,48.77,0.5888,51.95,37.47,0.5809000000000001,37.37,26.92,0.5813,3.99,2.74,0.593,3.66,2.52,0.5917,31.93,23.81,0.5728,13.56,10.65,0.5600999999999999,2.2,1.79,0.5508,24.49,17.54,0.5826,1.26,0.72,0.6364,46.65,31.07,0.6003000000000001,1.17,0.54,0.6857,0.1067999999999999,0.8981999999999999,1.005,12.85,15.35,7.68,34.84,0.626,24.08,24.32,15.52,0.608,22,1984-10-29,Thunder Bay,ON,CAN,CAN,76,195,2003.0,CAR,1.0,2.0,2.0,Canada,Left,2 - Round 1 - 2003 (CAR),CAR,Standard (1-way),21,,3,RFA,2009,4500000,"$4,500,000.00",4500000,4500000,0,0,2007-08,50300000,0.0894632206759443,0,0.0919198,"$4,623,566.00","$123,566.00"
c,evgeni malkin,pit,1748.0166666667,82,21.317276422764,1.61,2.03,1.3,0.72,3.64,77.37,9.34,0.1728,1.1,15.62,12.29,9.99,3.74,0.51,1.34,2.68,1.2,1.17,0.0,0.03,2.09,2.61,2.37,1.68,5.8,1.37,12.01,18.54,0.0135,62.99,49.43,0.5603,49.36,37.72,0.5668,35.94,27.84,0.5635,4.7,2.3,0.6716,3.7,2.11,0.6372,32.57,21.45,0.6029,14.38,8.07,0.6406999999999999,2.78,1.2,0.6983,24.26,17.85,0.5761,1.42,0.96,0.5962,38.37,34.36,0.5276,1.09,0.4,0.7333,0.1309,0.9174,1.048,12.94,13.35,6.97,34.63,0.65,23.31,19.53,12.67,0.6479,20,1986-07-31,Magnitogorsk,RUS,RUS,,75,195,2004.0,PIT,1.0,2.0,,Russia,Left,2 - Round 1 - 2004 (PIT),PIT,Entry-Level,20,,3,RFA,2009,984200,"$3,834,200.00",984200,688900,295300,2850000,2007-08,50300000,0.0195666003976143,0,0.02482461,"$1,248,677.00","$-2,585,523.00"
c,gilbert brule,-,603.68333333333,61,9.8964480874317,0.1,0.8,0.6,0.2,0.89,60.0,7.35,0.0135,0.62,11.53,9.64,7.16,3.58,0.3,0.5,2.39,1.19,1.19,0.0,0.0,1.89,0.99,1.39,7.26,6.96,1.09,3.98,3.78,0.051,50.99,40.05,0.56,40.05,32.2,0.5543,30.12,24.45,0.5519,1.49,1.79,0.4545,2.2,1.77,0.5536,21.87,17.79,0.5514,9.64,7.16,0.574,0.89,0.89,0.5,16.3,14.18,0.5347999999999999,0.4,0.8,0.3333,34.89,27.13,0.5625,0.43,0.43,0.5,0.0495,0.9268,0.976,11.23,13.62,5.27,51.98,0.6807,17.89,19.38,10.44,0.6315999999999999,20,1987-01-01,Edmonton,AB,CAN,CAN,71,187,2005.0,CBJ,1.0,6.0,6.0,Canada,Right,6 - Round 1 - 2005 (CBJ),CBJ,Entry-Level,18,,3,RFA,2009,821667,"$1,246,667.00",850000,765000,85000,425000,2007-08,50300000,0.0163353280318091,0,0.017337158,"$872,059.00","$-374,608.00"
c,gregory campbell,-,1008.05,81,12.445061728395,0.3,0.77,0.54,0.24,1.07,75.0,6.73,0.0441999999999999,0.58,10.89,8.93,5.95,2.98,0.48,0.71,4.29,1.31,0.89,0.36,0.06,1.07,1.07,0.71,9.29,4.82,2.08,13.99,13.39,0.0304,42.91,62.2,0.4083,33.27,49.52,0.4019,25.12,36.19,0.4097,1.43,3.69,0.2791,1.8,3.14,0.364,19.4,29.82,0.3942,7.56,11.61,0.3944,0.77,1.85,0.2955,15.79,24.28,0.3940999999999999,0.87,1.35,0.3928999999999999,29.23,41.96,0.4106,0.0,1.03,0.0,0.0569,0.898,0.955,8.33,11.55,15.77,48.51,0.3457,13.99,17.08,24.94,0.3593,23,1983-12-17,London,ON,CAN,CAN,72,188,2002.0,FLA,3.0,4.0,67.0,Canada,Left,67 - Round 3 - 2002 (FLA),FLA,Standard (1-way),22,,2,RFA,2008,500000,"$500,000.00",525000,525000,0,0,2007-08,50300000,0.0099403578528827,0,0.014066946,"$707,567.00","$207,567.00"
