PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,season,Y_Salary_Cap_Percentage
Zach Parise,COL,31,LW,Left,MIN,Standard (1-way),27,NMC,13,UFA,2025,"$7,538,462","$7,538,462","$9,000,000","$9,000,000",$0,$0,2017,0.13607332129963898
Vladimir Tarasenko,FLA,24,RW,Left,STL,Standard (1-way),23,,8,UFA,2023,"$7,500,000","$7,500,000","$8,000,000","$8,000,000",$0,$0,2017,0.13537906137184116
Ryan O'Reilly,NSH,25,C,Left,BUF,Standard (1-way),25,,7,UFA,2023,"$7,500,000","$7,500,000","$11,000,000","$1,000,000","$10,000,000",$0,2017,0.13537906137184116
Pavel Datsyuk,-,37,"C, LW",Left,DET,35+ (1-way),34,NMC,3,UFA,2017,"$7,500,000","$7,500,000","$5,500,000","$5,500,000",$0,$0,2017,0.13537906137184116
Jason Spezza,-,33,"C, RW",Right,DAL,Standard (1-way),32,"M-NTC, NMC",4,UFA,2019,"$7,500,000","$7,500,000","$7,500,000","$7,500,000",$0,$0,2017,0.13537906137184116
Sergei Bobrovsky,FLA,27,G,Left,CBJ,Standard (1-way),26,NMC,4,UFA,2019,"$7,425,000","$7,425,000","$8,500,000","$8,500,000",$0,$0,2017,0.13402527075812273
Bobby Ryan,-,29,"RW, LW",Right,OTT,Standard (1-way),28,"M-NTC, NMC",7,UFA,2022,"$7,250,000","$7,250,000","$7,000,000","$5,000,000","$2,000,000",$0,2017,0.13086642599277978
David Krejci,-,30,C,Right,BOS,Standard (1-way),28,NMC,6,UFA,2021,"$7,250,000","$7,250,000","$7,250,000","$7,250,000",$0,$0,2017,0.13086642599277978
Kris Letang,PIT,29,RD,Right,PIT,Standard (1-way),27,"M-NTC, NMC",8,UFA,2022,"$7,250,000","$7,250,000","$7,250,000","$7,250,000",$0,$0,2017,0.13086642599277978
Tuukka Rask,-,29,G,Left,BOS,Standard (1-way),26,NMC,8,UFA,2021,"$7,000,000","$7,000,000","$7,500,000","$7,500,000",$0,$0,2017,0.1263537906137184
Pekka Rinne,-,33,G,Left,NSH,Standard (1-way),29,"M-NTC, NMC",7,UFA,2019,"$7,000,000","$7,000,000","$7,000,000","$7,000,000",$0,$0,2017,0.1263537906137184
Daniel Sedin,-,35,LW,Left,VAN,Standard (1-way),33,NMC,4,UFA,2018,"$7,000,000","$7,000,000","$7,000,000","$7,000,000",$0,$0,2017,0.1263537906137184
Henrik Sedin,-,35,C,Left,VAN,Standard (1-way),33,NMC,4,UFA,2018,"$7,000,000","$7,000,000","$7,000,000","$7,000,000",$0,$0,2017,0.1263537906137184
Paul Stastny,-,30,"C, LW",Left,STL,Standard (1-way),28,NTC,4,UFA,2018,"$7,000,000","$7,000,000","$7,000,000","$7,000,000",$0,$0,2017,0.1263537906137184
Drew Doughty,LAK,26,RD,Right,LAK,Standard (1-way),21,,8,UFA,2019,"$7,000,000","$7,000,000","$7,450,000","$7,450,000",$0,$0,2017,0.1263537906137184
Dion Phaneuf,-,31,LD,Left,TOR,Standard (1-way),29,"M-NTC, NMC",7,UFA,2021,"$7,000,000","$7,000,000","$7,500,000","$6,500,000","$1,000,000",$0,2017,0.1263537906137184
Zdeno Chara,-,39,LD,Left,BOS,Standard (1-way),33,NMC,7,UFA,2018,"$6,916,667","$6,916,667","$5,000,000","$5,000,000",$0,$0,2017,0.12484958483754513
Brent Seabrook,TBL,31,RD,Right,CHI,Standard (1-way),31,NMC,8,UFA,2024,"$6,875,000","$6,875,000","$9,000,000","$4,500,000","$4,500,000",$0,2017,0.12409747292418773
Ryan Kesler,-,31,"C, RW",Right,ANA,Standard (1-way),31,NMC,6,UFA,2022,"$6,875,000","$6,875,000","$7,875,000","$7,875,000",$0,$0,2017,0.12409747292418773
Patrice Bergeron,-,30,C,Right,BOS,Standard (1-way),28,NMC,8,UFA,2022,"$6,875,000","$6,875,000","$8,750,000","$8,750,000",$0,$0,2017,0.12409747292418773
Johnny Gaudreau,CBJ,22,LW,Left,CGY,Standard (1-way),22,,6,UFA,2022,"$6,750,000","$6,750,000","$6,750,000","$3,750,000","$3,000,000",$0,2017,0.12184115523465704
Mark Giordano,TOR,32,LD,Left,CGY,Standard (1-way),32,NTC,6,UFA,2022,"$6,750,000","$6,750,000","$6,750,000","$4,750,000","$2,000,000",$0,2017,0.12184115523465704
Mikko Koivu,-,33,C,Left,MIN,Standard (1-way),27,NMC,7,UFA,2018,"$6,750,000","$6,750,000","$5,400,000","$5,400,000",$0,$0,2017,0.12184115523465704
Joe Thornton,-,36,"C, LW",Left,SJS,Standard (1-way),34,NMC,3,UFA,2017,"$6,750,000","$6,750,000","$6,750,000","$6,750,000",$0,$0,2017,0.12184115523465704
Nicklas Bäckström,WSH,28,C,Left,WSH,Standard (1-way),22,M-NTC,10,UFA,2020,"$6,700,000","$6,700,000","$7,000,000","$7,000,000",$0,$0,2017,0.12093862815884476
Patrick Marleau,-,36,"LW, C",Left,SJS,Standard (1-way),34,NMC,3,UFA,2017,"$6,666,667","$6,666,667","$6,500,000","$6,500,000",$0,$0,2017,0.12033694945848375
Derek Stepan,-,26,"C, RW",Right,NYR,Standard (1-way),25,,6,UFA,2021,"$6,500,000","$6,500,000","$8,000,000","$7,000,000","$1,000,000",$0,2017,0.11732851985559567
Carey Price,MTL,28,G,Left,MTL,Standard (1-way),24,"M-NTC, NMC",6,UFA,2018,"$6,500,000","$6,500,000","$7,000,000","$7,000,000",$0,$0,2017,0.11732851985559567
Alex Pietrangelo,VGK,26,RD,Right,STL,Standard (1-way),23,,7,UFA,2020,"$6,500,000","$6,500,000","$7,000,000","$7,000,000",$0,$0,2017,0.11732851985559567
Erik Karlsson,PIT,26,RD,Right,OTT,Standard (1-way),22,,7,UFA,2019,"$6,500,000","$6,500,000","$7,000,000","$7,000,000",$0,$0,2017,0.11732851985559567
Sean Monahan,WPG,21,"C, LW, RW",Left,CGY,Standard (1-way),21,,7,UFA,2023,"$6,375,000","$6,375,000","$6,500,000","$6,500,000",$0,$0,2017,0.11507220216606498
Keith Yandle,-,29,LD,Left,FLA,Standard (1-way),29,NMC,7,UFA,2023,"$6,350,000","$6,350,000","$7,500,000","$3,500,000","$4,000,000",$0,2017,0.11462093862815885
Nathan MacKinnon,COL,20,C,Right,COL,Standard (1-way),20,,7,UFA,2023,"$6,300,000","$6,300,000","$5,000,000","$5,000,000",$0,$0,2017,0.11371841155234658
Mark Scheifele,WPG,23,C,Right,WPG,Standard (1-way),23,,8,UFA,2024,"$6,125,000","$6,125,000","$5,000,000","$5,000,000",$0,$0,2017,0.11055956678700361
Braden Holtby,-,26,G,Left,WSH,Standard (1-way),25,,5,UFA,2020,"$6,100,000","$6,100,000","$7,000,000","$7,000,000",$0,$0,2017,0.11010830324909747
Henrik Zetterberg,-,35,C,Left,DET,Standard (1-way),28,,12,UFA,2021,"$6,083,333","$6,083,333","$7,500,000","$7,500,000",$0,$0,2017,0.10980745487364621
Kyle Okposo,FLA,28,RW,Right,BUF,Standard (1-way),28,NMC,7,UFA,2023,"$6,000,000","$6,000,000","$8,000,000","$1,000,000","$7,000,000",$0,2017,0.10830324909747292
Loui Eriksson,-,30,"LW, RW",Left,VAN,Standard (1-way),30,NMC,6,UFA,2022,"$6,000,000","$6,000,000","$8,000,000","$1,000,000","$7,000,000",$0,2017,0.10830324909747292
David Backes,-,32,"C, RW",Right,BOS,Standard (1-way),32,NMC,5,UFA,2021,"$6,000,000","$6,000,000","$8,000,000","$5,000,000","$3,000,000",$0,2017,0.10830324909747292
Milan Lucic,BOS,28,"LW, RW",Left,EDM,Standard (1-way),28,NMC,7,UFA,2023,"$6,000,000","$6,000,000","$8,000,000","$4,000,000","$4,000,000",$0,2017,0.10830324909747292
Filip Forsberg,NSH,21,LW,Right,NSH,Standard (1-way),21,,6,UFA,2022,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0,2017,0.10830324909747292
Tomas Plekanec,-,33,C,Left,MTL,Standard (1-way),32,,2,UFA,2018,"$6,000,000","$6,000,000","$7,000,000","$7,000,000",$0,$0,2017,0.10830324909747292
Erik Johnson,PHI,28,RD,Right,COL,Standard (1-way),28,"M-NTC, NMC",7,UFA,2023,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0,2017,0.10830324909747292
Brandon Saad,STL,23,"LW, RW",Left,CBJ,Standard (1-way),22,,6,UFA,2021,"$6,000,000","$6,000,000","$5,750,000","$5,750,000",$0,$0,2017,0.10830324909747292
Johnny Boychuk,-,32,RD,Right,NYI,Standard (1-way),31,NMC,7,UFA,2022,"$6,000,000","$6,000,000","$7,000,000","$7,000,000",$0,$0,2017,0.10830324909747292
Mike Green,-,30,RD,Right,DET,Standard (1-way),29,NTC,3,UFA,2018,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0,2017,0.10830324909747292
Cory Schneider,-,30,G,Left,NJD,Standard (1-way),29,NTC,7,UFA,2022,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0,2017,0.10830324909747292
Jordan Staal,CAR,27,"C, LW",Left,CAR,Standard (1-way),23,NMC,10,UFA,2023,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0,2017,0.10830324909747292
Logan Couture,SJS,27,C,Left,SJS,Standard (1-way),25,M-NTC,5,UFA,2019,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0,2017,0.10830324909747292
Joe Pavelski,DAL,31,RW,Right,SJS,Standard (1-way),29,M-NTC,5,UFA,2019,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0,2017,0.10830324909747292
Matt Duchene,DAL,25,"RW, C",Left,COL,Standard (1-way),22,,5,UFA,2019,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0,2017,0.10830324909747292
Ryan Miller,-,35,G,Left,VAN,Standard (1-way),33,M-NTC,3,UFA,2017,"$6,000,000","$6,000,000","$6,000,000","$5,000,000","$1,000,000",$0,2017,0.10830324909747292
Corey Crawford,-,31,G,Left,CHI,Standard (1-way),29,"M-NTC, NMC",6,UFA,2020,"$6,000,000","$6,000,000","$6,000,000","$5,000,000","$1,000,000",$0,2017,0.10830324909747292
Ryan Nugent-Hopkins,EDM,23,"LW, C",Left,EDM,Standard (1-way),20,,7,UFA,2021,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0,2017,0.10830324909747292
Jordan Eberle,SEA,26,RW,Right,EDM,Standard (1-way),22,,6,UFA,2019,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0,2017,0.10830324909747292
Taylor Hall,CHI,24,LW,Left,EDM,Standard (1-way),20,,7,UFA,2020,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0,2017,0.10830324909747292
Ben Bishop,-,29,G,Left,TBL,Standard (1-way),28,"M-NTC, NMC",2,UFA,2017,"$5,950,000","$5,950,000","$5,950,000","$5,950,000",$0,$0,2017,0.10740072202166065
Aleksander Barkov,FLA,20,C,Left,FLA,Standard (1-way),20,,6,UFA,2022,"$5,900,000","$5,900,000","$4,500,000","$4,500,000",$0,$0,2017,0.10649819494584838
Semyon Varlamov,NYI,28,G,Left,COL,Standard (1-way),25,,5,UFA,2019,"$5,900,000","$5,900,000","$6,000,000","$6,000,000",$0,$0,2017,0.10649819494584838
Patrick Sharp,-,34,"LW, C",Right,CHI,Standard (1-way),29,"M-NTC, NMC",5,UFA,2017,"$5,900,000","$5,900,000","$5,000,000","$5,000,000",$0,$0,2017,0.10649819494584838
Kari Lehtonen,-,32,G,Left,DAL,Standard (1-way),28,M-NTC,5,UFA,2018,"$5,900,000","$5,900,000","$6,000,000","$6,000,000",$0,$0,2017,0.10649819494584838
Dustin Brown,-,31,"RW, LW",Right,LAK,Standard (1-way),29,M-NTC,8,UFA,2022,"$5,875,000","$5,875,000","$7,000,000","$7,000,000",$0,$0,2017,0.10604693140794223
Brandon Dubinsky,-,30,"C, LW",Left,CBJ,Standard (1-way),29,NMC,6,UFA,2021,"$5,850,000","$5,850,000","$5,850,000","$5,850,000",$0,$0,2017,0.1055956678700361
Alexander Steen,-,32,"LW, RW, C",Left,STL,Standard (1-way),29,NTC,3,UFA,2017,"$5,800,000","$5,800,000","$6,500,000","$6,500,000",$0,$0,2017,0.10469314079422383
Jonathan Quick,NYR,30,G,Left,LAK,Standard (1-way),27,,10,UFA,2023,"$5,800,000","$5,800,000","$7,000,000","$7,000,000",$0,$0,2017,0.10469314079422383
Ryan Callahan,-,31,RW,Right,TBL,Standard (1-way),29,NMC,6,UFA,2020,"$5,800,000","$5,800,000","$6,500,000","$6,500,000",$0,$0,2017,0.10469314079422383
Brent Burns,CAR,31,RD,Right,SJS,Standard (1-way),27,M-NTC,5,UFA,2017,"$5,760,000","$5,760,000","$5,760,000","$5,760,000",$0,$0,2017,0.10397111913357401
Alexander Radulov,-,29,RW,Left,MTL,Standard (1-way),29,,1,UFA,2017,"$5,750,000","$5,750,000","$5,750,000","$2,750,000","$3,000,000",$0,2017,0.10379061371841156
Dougie Hamilton,NJD,23,RD,Right,CGY,Standard (1-way),22,,6,UFA,2021,"$5,750,000","$5,750,000","$5,500,000","$5,500,000",$0,$0,2017,0.10379061371841156
Marc-André Fleury,MIN,31,G,Left,PIT,Standard (1-way),30,"M-NTC, NMC",4,UFA,2019,"$5,750,000","$5,750,000","$5,750,000","$5,750,000",$0,$0,2017,0.10379061371841156
Travis Zajac,-,31,C,Right,NJD,Standard (1-way),27,NTC,8,UFA,2021,"$5,750,000","$5,750,000","$6,500,000","$6,500,000",$0,$0,2017,0.10379061371841156
Andrei Markov,-,37,LD,Left,MTL,35+ (1-way),35,M-NTC,3,UFA,2017,"$5,750,000","$5,750,000","$4,250,000","$4,250,000",$0,$0,2017,0.10379061371841156
Matt Niskanen,-,29,RD,Right,WSH,Standard (1-way),27,M-NTC,7,UFA,2021,"$5,750,000","$5,750,000","$5,750,000","$5,750,000",$0,$0,2017,0.10379061371841156
Tyler Seguin,DAL,24,"C, RW",Right,BOS,Standard (1-way),21,,6,UFA,2019,"$5,750,000","$5,750,000","$6,000,000","$6,000,000",$0,$0,2017,0.10379061371841156
Toby Enström,-,31,LD,Left,WPG,Standard (1-way),27,NMC,5,UFA,2018,"$5,750,000","$5,750,000","$5,750,000","$4,600,000","$1,150,000",$0,2017,0.10379061371841156
Jeff Skinner,BUF,24,"LW, RW",Left,CAR,Standard (1-way),20,,6,UFA,2019,"$5,725,000","$5,725,000","$6,000,000","$6,000,000",$0,$0,2017,0.10333935018050541
Hampus Lindholm,BOS,22,LD,Left,ANA,Standard (1-way),22,,6,UFA,2022,"$5,713,415","$5,713,415","$3,000,000","$3,000,000",$0,$0,2017,0.10313023465703972
Marc Staal,PHI,29,LD,Left,NYR,Standard (1-way),28,NMC,6,UFA,2021,"$5,700,000","$5,700,000","$6,000,000","$5,000,000","$1,000,000",$0,2017,0.10288808664259928
Mike Smith,-,34,G,Left,ARI,Standard (1-way),31,M-NTC,6,UFA,2019,"$5,666,667","$5,666,667","$6,500,000","$6,500,000",$0,$0,2017,0.10228640794223827
Jason Pominville,-,33,RW,Right,MIN,Standard (1-way),30,"M-NTC, NMC",5,UFA,2019,"$5,600,000","$5,600,000","$6,250,000","$6,250,000",$0,$0,2017,0.10108303249097472
Blake Wheeler,NYR,29,RW,Right,WPG,Standard (1-way),26,M-NTC,6,UFA,2019,"$5,600,000","$5,600,000","$5,800,000","$5,800,000",$0,$0,2017,0.10108303249097472
Gabriel Landeskog,COL,23,"LW, C",Left,COL,Standard (1-way),20,,7,UFA,2021,"$5,571,429","$5,571,429","$5,500,000","$5,500,000",$0,$0,2017,0.10056731046931408
Duncan Keith,-,32,LD,Left,CHI,Standard (1-way),26,NMC,13,UFA,2023,"$5,538,462","$5,538,462","$6,000,000","$6,000,000",$0,$0,2017,0.09997223826714802
Tyson Barrie,NSH,24,RD,Right,COL,Standard (1-way),24,,4,UFA,2020,"$5,500,000","$5,500,000","$5,000,000","$5,000,000",$0,$0,2017,0.09927797833935018
Andrew Ladd,-,30,LW,Left,NYI,Standard (1-way),30,NMC,7,UFA,2023,"$5,500,000","$5,500,000","$8,000,000","$1,000,000","$7,000,000",$0,2017,0.09927797833935018
Nick Leddy,STL,25,LD,Left,NYI,Standard (1-way),23,,7,UFA,2022,"$5,500,000","$5,500,000","$4,500,000","$4,500,000",$0,$0,2017,0.09927797833935018
Andrej Sekera,-,30,LD/RD,Left,EDM,Standard (1-way),29,NMC,6,UFA,2021,"$5,500,000","$5,500,000","$6,500,000","$6,500,000",$0,$0,2017,0.09927797833935018
Jeff Petry,DET,28,RD,Right,MTL,Standard (1-way),27,NMC,6,UFA,2021,"$5,500,000","$5,500,000","$7,000,000","$6,000,000","$1,000,000",$0,2017,0.09927797833935018
Nick Foligno,CHI,28,"LW, C, RW",Left,CBJ,Standard (1-way),27,NMC,6,UFA,2021,"$5,500,000","$5,500,000","$5,500,000","$5,500,000",$0,$0,2017,0.09927797833935018
John Tavares,TOR,25,"C, LW",Left,NYI,Standard (1-way),20,"M-NTC, NMC",6,UFA,2018,"$5,500,000","$5,500,000","$6,000,000","$6,000,000",$0,$0,2017,0.09927797833935018
Oliver Ekman-Larsson,FLA,24,LD,Left,ARI,Standard (1-way),21,,6,UFA,2019,"$5,500,000","$5,500,000","$6,000,000","$6,000,000",$0,$0,2017,0.09927797833935018
Dave Bolland,-,30,C,Right,FLA,Standard (1-way),28,M-NTC,5,UFA,2019,"$5,500,000","$5,500,000","$5,500,000","$5,500,000",$0,$0,2017,0.09927797833935018
Brooks Orpik,-,35,LD,Left,WSH,Standard (1-way),33,,5,UFA,2019,"$5,500,000","$5,500,000","$5,500,000","$4,500,000","$1,000,000",$0,2017,0.09927797833935018
Dan Girardi,-,32,RD,Right,NYR,Standard (1-way),30,NMC,6,UFA,2020,"$5,500,000","$5,500,000","$6,000,000","$5,000,000","$1,000,000",$0,2017,0.09927797833935018
Tyler Myers,VAN,26,RD,Right,BUF,Standard (1-way),22,,7,UFA,2019,"$5,500,000","$5,500,000","$4,000,000","$4,000,000",$0,$0,2017,0.09927797833935018
Alex Goligoski,MIN,30,LD/RD,Left,ARI,Standard (1-way),30,NMC,5,UFA,2021,"$5,475,000","$5,475,000","$5,375,000","$5,375,000",$0,$0,2017,0.09882671480144405
Rasmus Ristolainen,PHI,21,RD,Right,BUF,Standard (1-way),21,,6,UFA,2022,"$5,400,000","$5,400,000","$5,400,000","$5,400,000",$0,$0,2017,0.09747292418772563
Seth Jones,CHI,21,RD,Right,CBJ,Standard (1-way),21,,6,UFA,2022,"$5,400,000","$5,400,000","$5,400,000","$5,400,000",$0,$0,2017,0.09747292418772563
Jay Bouwmeester,-,32,LD,Left,STL,Standard (1-way),29,NTC,5,UFA,2019,"$5,400,000","$5,400,000","$5,600,000","$5,600,000",$0,$0,2017,0.09747292418772563
Jaden Schwartz,SEA,24,LW,Left,STL,Standard (1-way),24,,5,UFA,2021,"$5,350,000","$5,350,000","$5,250,000","$5,250,000",$0,$0,2017,0.09657039711191336
Jarome Iginla,-,39,RW,Right,COL,35+ (1-way),37,NMC,3,UFA,2017,"$5,333,333","$5,333,333","$5,000,000","$5,000,000",$0,$0,2017,0.0962695487364621
Roberto Luongo,-,37,G,Left,VAN,Standard (1-way),31,M-NTC,12,UFA,2022,"$5,333,333","$5,333,333","$6,714,000","$6,714,000",$0,$0,2017,0.0962695487364621
Nathan Horton,-,31,RW,Right,CBJ,Standard (1-way),28,NMC,7,UFA,2020,"$5,300,000","$5,300,000","$6,000,000","$6,000,000",$0,$0,2017,0.09566787003610108
Jimmy Howard,-,32,G,Left,DET,Standard (1-way),29,M-NTC,6,UFA,2019,"$5,291,666","$5,291,666","$5,500,000","$5,500,000",$0,$0,2017,0.09551743682310469
Marián Hossa,-,37,RW,Left,CHI,Standard (1-way),30,NMC,12,UFA,2021,"$5,275,000","$5,275,000","$4,000,000","$4,000,000",$0,$0,2017,0.09521660649819494
Jeff Carter,PIT,31,"RW, C",Right,PHI,Standard (1-way),25,,11,UFA,2022,"$5,272,727","$5,272,727","$7,000,000","$7,000,000",$0,$0,2017,0.09517557761732852
Frans Nielsen,-,32,"C, LW",Left,DET,Standard (1-way),32,NMC,6,UFA,2022,"$5,250,000","$5,250,000","$6,000,000","$4,000,000","$2,000,000",$0,2017,0.09476534296028881
Torey Krug,STL,25,LD,Left,BOS,Standard (1-way),25,,4,UFA,2020,"$5,250,000","$5,250,000","$5,000,000","$4,000,000","$1,000,000",$0,2017,0.09476534296028881
Evander Kane,EDM,24,"LW, RW",Left,WPG,Standard (1-way),21,,6,UFA,2018,"$5,250,000","$5,250,000","$6,000,000","$6,000,000",$0,$0,2017,0.09476534296028881
Mark Streit,-,38,RD,Left,PHI,35+ (1-way),35,M-NTC,4,UFA,2017,"$5,250,000","$5,250,000","$4,000,000","$2,000,000","$2,000,000",$0,2017,0.09476534296028881
Dennis Wideman,-,33,RD,Right,CGY,Standard (1-way),29,NMC,5,UFA,2017,"$5,250,000","$5,250,000","$6,000,000","$6,000,000",$0,$0,2017,0.09476534296028881
Jamie Benn,DAL,26,"LW, C",Left,DAL,Standard (1-way),22,NMC,5,UFA,2017,"$5,250,000","$5,250,000","$5,750,000","$5,750,000",$0,$0,2017,0.09476534296028881
Joffrey Lupul,-,32,"LW, RW",Right,TOR,Standard (1-way),29,M-NTC,5,UFA,2018,"$5,250,000","$5,250,000","$5,250,000","$5,250,000",$0,$0,2017,0.09476534296028881
David Clarkson,-,32,RW,Right,TOR,Standard (1-way),29,"M-NTC, NMC",7,UFA,2020,"$5,250,000","$5,250,000","$7,000,000","$2,000,000","$5,000,000",$0,2017,0.09476534296028881
Mike Hoffman,SJS,26,LW,Left,OTT,Standard (1-way),26,,4,UFA,2020,"$5,187,500","$5,187,500","$3,800,000","$3,800,000",$0,$0,2017,0.09363718411552346
Jared Spurgeon,MIN,26,RD,Right,MIN,Standard (1-way),26,,4,UFA,2020,"$5,187,500","$5,187,500","$4,250,000","$4,250,000",$0,$0,2017,0.09363718411552346
Zach Bogosian,MIN,25,RD,Right,WPG,Standard (1-way),22,,7,UFA,2020,"$5,142,857","$5,142,857","$5,250,000","$5,250,000",$0,$0,2017,0.09283135379061372
Brayden Schenn,STL,24,"C, LW",Left,PHI,Standard (1-way),24,,4,UFA,2020,"$5,125,000","$5,125,000","$6,000,000","$3,000,000","$3,000,000",$0,2017,0.09250902527075812
Danny DeKeyser,-,26,LD,Left,DET,Standard (1-way),26,,6,UFA,2022,"$5,000,000","$5,000,000","$4,000,000","$3,000,000","$1,000,000",$0,2017,0.09025270758122744
Frederik Andersen,CAR,26,G,Left,TOR,Standard (1-way),26,,5,UFA,2021,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0,2017,0.09025270758122744
Morgan Rielly,TOR,22,LD,Left,TOR,Standard (1-way),22,,6,UFA,2022,"$5,000,000","$5,000,000","$5,000,000","$3,000,000","$2,000,000",$0,2017,0.09025270758122744
Mikhail Grabovski,-,32,"C, RW",Left,NYI,Standard (1-way),30,,4,UFA,2018,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0,2017,0.09025270758122744
Andy Greene,-,33,LD/RD,Left,NJD,Standard (1-way),31,NTC,5,UFA,2020,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0,2017,0.09025270758122744
Mike Cammalleri,-,34,"LW, C",Left,NJD,Standard (1-way),32,NTC,5,UFA,2019,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0,2017,0.09025270758122744
Matt Moulson,-,32,LW,Left,BUF,Standard (1-way),30,M-NTC,5,UFA,2019,"$5,000,000","$5,000,000","$5,000,000","$3,000,000","$2,000,000",$0,2017,0.09025270758122744
